miRNA	GSM1439481	GSM1439482	GSM1439483	GSM1439484	GSM1439485	GSM1439486	GSM1439487	GSM1439488	GSM1439489	GSM1439490	GSM1439491	GSM1439492	GSM1439493	GSM1439494	GSM1439495	GSM1439496	GSM1439497	GSM1439498	GSM1439499	GSM1439500	GSM1439501	GSM1439502	GSM1439503	GSM1439504
hsa-mir-26b-3p	27.05	50.36	38.24	16.48	0	79.86	25.73	32.89	8.28	17.63	45.89	20.14	32.74	48.64	15.48	40.13	0	0	14	43.32	37.2	42.97	0	0
hsa-mir-26b-5p	951.19	2469.1	1125.62	800.42	968.54	803.96	367.35	720.24	450	650.07	676.92	939.94	362.37	1049.8	407.1	795.88	187.57	275.72	1290.35	1432.97	1236.9	1203.16	1181.57	1102.65
hsa-mir-27a-3p	1372.68	1948.68	3013.61	1200.62	1861.68	3258.44	4711.73	4382.26	2095.41	871.06	894.92	3756.4	1457.13	3962.1	912.11	6169.78	1575.6	1289.68	817.85	1401.54	1827.44	1863.82	3426.55	2326.34
hsa-mir-27a-5p	9.02	3.87	16.1	0	17.4	31.95	1.51	13.16	0	17.63	0	60.42	0	48.64	0	5.02	0	0	18.67	50.97	0	10.74	0	0
hsa-mir-27b-3p	5425.37	6589.86	9690.83	4489.29	4680.3	5031.42	102290.4	20194.59	3528.24	2690.78	2696.22	5146.16	13670.81	13629.21	32482.69	12535.18	37701.87	18215.62	39558.81	9785.29	37260.32	21211.07	6025.99	8998.97
hsa-mir-27b-5p	13.52	19.37	12.07	8.24	0	0	12.11	3.29	0	0	0	10.07	13.1	4.05	2.44	0	0	0	9.33	2.55	0	0	0	11.35
hsa-mir-28-3p	1023.31	2417.44	1444.92	835.22	643.76	1261.85	1612.21	1131.33	438.96	447.88	596.61	2044.37	1106.76	1390.28	1658.01	3476.14	712.77	1067.32	1274.02	3294.89	1841.39	1922.91	1417.88	2383.08
hsa-mir-28-5p	76.64	232.45	98.61	57.7	52.2	47.92	21.19	26.31	24.85	49.37	49.72	90.64	62.21	93.23	25.26	95.31	37.51	53.37	86.33	119.77	130.2	268.56	472.63	73.76
hsa-mir-2861	9.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.74	0	0
hsa-mir-2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-296-3p	0	3.87	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-296-5p	0	0	6.04	0	0	0	0	0	0	0	0	0	0	0	0	5.02	0	0	0	0	0	21.49	0	0
hsa-mir-297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-299-3p	4.51	7.75	0	0	0	0	6.06	0	0	0	11.47	0	0	4.05	0.81	5.02	0	0	0	0	0	0	0	0
hsa-mir-299-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-29a-3p	437.27	352.54	815.7	348.92	608.96	463.21	3287.99	1045.82	289.88	197.49	172.1	523.68	464.97	782.29	320.6	892.86	1012.89	595.92	354.67	560.62	930	741.23	236.31	584.42
hsa-mir-29a-5p	0	0	0	0	0	0	0	3.29	0	0	0	0	0	0	0	5.02	0	0	4.67	0	0	0	0	0
hsa-mir-29b-1-3p	0	0	4.7	2.75	0	0	0.76	3.29	4.14	3.53	11.47	0	6.55	6.08	0.81	10.03	0	0	2.72	3.82	0	0	0	11.35
hsa-mir-29b-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02	0	0	0	2.55	0	0	0	0
hsa-mir-29b-2-3p	0	0	4.7	2.75	0	0	0.76	3.29	4.14	3.53	11.47	0	6.55	6.08	0.81	10.03	0	0	2.72	3.82	0	0	0	11.35
hsa-mir-29b-2-5p	9.02	0	0	5.49	0	0	1.51	0	0	0	0	0	0	0	1.63	5.02	37.51	0	4.67	2.55	0	10.74	0	0
hsa-mir-29c-3p	220.89	224.7	297.84	186.82	173.99	223.62	844.71	315.72	91.1	95.22	91.79	140.99	180.09	190.5	87.59	326.05	375.14	231.25	111.22	211.5	399.9	333.02	708.94	119.15
hsa-mir-29c-5p	0	3.87	10.06	0	0	0	4.54	0	0	0	0	0	0	0	1.63	0	0	0	11.67	2.55	0	0	0	0
hsa-mir-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-301a-3p	99.18	201.45	84.52	85.17	34.8	111.81	16.65	36.18	33.13	24.69	45.89	50.35	26.2	44.59	11.41	50.16	0	26.68	35	89.19	139.5	225.59	0	150.36
hsa-mir-301a-5p	4.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-301b	13.52	19.37	16.1	8.24	0	0	0	9.87	0	3.53	0	30.21	3.27	12.16	1.63	0	37.51	0	4.67	15.29	9.3	32.23	0	31.21
hsa-mir-302a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-302f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3064-3p	0	0	0	0	0	0	0	0	0	7.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3064-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02	0	0	2.33	0	0	0	0	0
hsa-mir-3065-3p	0	0	0	0	0	0	0	0	0	0	0	0	3.27	0	2.44	0	0	0	0	0	0	0	0	0
hsa-mir-3065-5p	0	0	2.01	2.75	0	0	1.51	0	0	0	0	0	3.27	4.05	8.96	0	0	0	16.33	5.1	0	0	0	0
hsa-mir-3074-3p	0	0	0	0	0	0	0	0	0	0	22.95	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3074-5p	0	7.75	0	2.75	0	0	3.03	0	0	0	0	0	0	0	0	5.02	0	0	0	2.55	0	0	0	5.67
hsa-mir-30a-3p	4.51	17.43	30.19	5.49	0	15.97	56.01	13.16	66.26	17.63	22.95	30.21	3.27	2.03	56.22	40.13	0	26.68	138.84	87.91	55.8	32.23	0	65.25
hsa-mir-30a-5p	1250.97	1013.08	3394.96	1008.31	1270.12	1245.87	22007.77	5794.78	1225.77	1070.32	946.55	3620.44	2637.57	2379.29	9330.88	7243.22	3226.23	2232.48	12170.86	7382.29	6440.23	4049.92	2244.98	2062.5
hsa-mir-30b-3p	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-30b-5p	166.8	348.67	165.02	107.15	104.39	15.97	18.67	52.62	107.67	88.16	114.73	251.77	105.87	218.88	20.1	170.55	0	80.05	100.33	173.28	195.3	290.05	236.31	147.52
hsa-mir-30c-1-3p	4.51	7.75	2.01	5.49	0	15.97	1.51	3.29	0	0	0	30.21	6.55	8.11	0	5.02	0	0	4.67	25.48	0	0	0	28.37
hsa-mir-30c-1-5p	157.78	464.89	233.44	136	86.99	175.7	22.45	83.86	124.23	114.61	172.1	639.49	171.36	194.56	24.99	158.01	93.79	102.28	98	368.22	292.95	483.41	118.16	365.97
hsa-mir-30c-2-3p	0	0	0	0	0	15.97	1.51	0	0	0	0	20.14	0	0	4.07	10.03	0	8.89	7	17.84	9.3	0	0	0
hsa-mir-30c-2-5p	157.78	464.89	233.44	136	86.99	175.7	22.45	83.86	124.23	114.61	172.1	639.49	171.36	194.56	24.99	158.01	93.79	102.28	98	368.22	292.95	483.41	118.16	365.97
hsa-mir-30d-3p	40.57	46.49	20.12	43.96	17.4	31.95	56.01	49.33	0	3.53	11.47	10.07	3.27	36.48	15.48	60.19	0	0	52.5	56.06	18.6	21.49	0	51.07
hsa-mir-30d-5p	6074.52	9330.79	8183.53	6161.1	4454.11	6596.75	16732.9	8404.41	3942.36	4323.58	3464.93	9416.17	6938.55	7083.14	6757.5	8311.64	4276.63	4625.06	19449.82	22252.61	11159.96	10506.17	5907.84	7120.88
hsa-mir-30e-3p	99.18	269.25	86.53	57.7	69.6	95.84	34.82	95.37	66.26	49.37	80.31	130.92	52.39	123.63	28.52	75.24	0	44.47	128.34	383.51	93	75.2	0	116.32
hsa-mir-30e-5p	6581.66	7864.44	6581.64	6111.65	3531.97	6197.43	4787.42	4270.45	2451.55	2840.66	2093.87	3761.43	4297.71	5259.15	2943.27	5322.06	1913.23	3104.13	5232.59	6063.57	6124.03	7885	2953.92	6005.94
hsa-mir-31-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-31-5p	4.51	3.87	8.05	0	52.2	0	0	0	0	3.53	0	60.42	3.27	8.11	0	0	0	0	4.67	0	0	0	0	0
hsa-mir-3115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3116-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3116-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3117-3p	0	0	0	2.75	0	0	0	0	0	0	11.47	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3117-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3118-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3119-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3119-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3120-3p	0	11.62	4.02	2.75	0	0	0	0	0	0	0	0	16.37	0	0	0	0	0	0	0	0	0	0	11.35
hsa-mir-3120-5p	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3121-3p	0	0	2.01	0	0	0	1.51	0	0	0	0	0	0	0	0	10.03	0	0	0	0	0	0	0	0
hsa-mir-3121-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3122	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3124-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3124-5p	0	3.87	0	0	0	0	1.51	0	0	0	0	30.21	0	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-3125	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-3126-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3126-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3127-3p	0	3.87	4.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3127-5p	9.02	0	6.04	0	0	0	3.03	0	0	3.53	0	0	0	0	0.81	10.03	0	0	0	0	0	10.74	0	0
hsa-mir-3128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3129-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3129-5p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3130-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	1.64	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3130-1-5p	4.51	0	2.01	1.37	0	0	0	0	4.14	0	0	0	1.64	6.08	0	5.02	18.76	0	2.33	2.55	0	0	0	0
hsa-mir-3130-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	1.64	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3130-2-5p	4.51	0	2.01	1.37	0	0	0	0	4.14	0	0	0	1.64	6.08	0	5.02	18.76	0	2.33	2.55	0	0	0	0
hsa-mir-3131	0	0	0	0	0	0	0	0	0	0	0	0	9.82	4.05	0	0	0	0	7	0	0	0	0	0
hsa-mir-3132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3135a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3135b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-3136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3136-5p	0	3.87	0	2.75	0	0	1.51	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3138	0	7.75	4.02	0	0	0	0	0	0	3.53	0	20.14	0	4.05	0	10.03	0	0	0	0	0	0	0	0
hsa-mir-3139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3140-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3140-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3143	4.51	0	4.02	2.75	0	0	4.54	13.16	0	31.74	11.47	0	0	20.27	0	5.02	0	0	4.67	0	0	10.74	0	5.67
hsa-mir-3144-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3144-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3145-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	2.55	0	0	0	0
hsa-mir-3145-5p	0	0	0	0	0	0	3.03	3.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3146	0	0	0	0	0	0	0	0	0	0	11.47	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-3147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3150a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3150a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	0
hsa-mir-3150b-3p	0	0	0	0	0	0	0	0	0	0	0	10.07	6.55	0	0.81	0	0	0	2.33	2.55	0	0	0	0
hsa-mir-3150b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3151-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3151-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3152-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-3155a	0	0	0	2.75	0	0	0	6.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3155b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3156-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3156-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0
hsa-mir-3156-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3156-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0
hsa-mir-3156-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0
hsa-mir-3157-3p	0	0	4.02	8.24	0	15.97	1.51	0	0	0	0	20.14	3.27	0	1.63	0	37.51	0	7	5.1	0	0	0	0
hsa-mir-3157-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3158-1-3p	18.03	9.69	7.04	13.74	8.7	15.97	0	3.29	0	8.82	22.95	0	3.27	8.11	1.63	0	0	4.45	2.33	1.27	4.65	5.37	0	11.35
hsa-mir-3158-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3158-2-3p	18.03	9.69	7.04	13.74	8.7	15.97	0	3.29	0	8.82	22.95	0	3.27	8.11	1.63	0	0	4.45	2.33	1.27	4.65	5.37	0	11.35
hsa-mir-3158-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3160-1-3p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0
hsa-mir-3160-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3160-2-3p	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0
hsa-mir-3160-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3	10.74	0	5.67
hsa-mir-3162-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.74	0	0
hsa-mir-3162-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0
hsa-mir-3163	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05	0	0	0	0	0	0	0	0	0	0
hsa-mir-3164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3166	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3173-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3173-5p	0	3.87	4.02	2.75	0	0	0	0	0	3.53	11.47	0	3.27	4.05	0	0	0	0	0	2.55	0	10.74	0	0
hsa-mir-3174	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0
hsa-mir-3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3	0	0	0
hsa-mir-3176	18.03	3.87	14.09	13.74	34.8	15.97	3.03	9.87	24.85	7.05	0	20.14	3.27	0	0	5.02	0	0	2.33	2.55	0	10.74	0	11.35
hsa-mir-3177-3p	0	3.87	0	2.75	0	0	0	0	0	0	0	0	0	0	0.81	5.02	0	0	0	2.55	0	0	0	22.7
hsa-mir-3177-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02	0	0	0	0	0	0	0	0
hsa-mir-3178	0	0	0	0	0	0	0	0	8.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3179-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3179-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3179-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-1	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-1-3p	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-2	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-2-3p	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-3	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-3-3p	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3180-4	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-4-3p	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-5	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3180-5-3p	0	0	0	0	0	0	0	0.66	3.31	0	0	0	0.65	0	0	1	0	0	0	0	0	0	0	0
hsa-mir-3181	4.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3184-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3184-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3186-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3187-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3189-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3189-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3190-3p	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33	2.55	0	10.74	0	11.35
hsa-mir-3190-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3191-3p	0	0	0	0	17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3191-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3192-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3192-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-3194-3p	0	0	0	0	0	0	0	0	0	0	0	0	3.27	0	0	0	0	0	0	0	0	0	0	0
