miRNA,GSM7886764,GSM7886765,GSM7886766,GSM7886767,GSM7886768,GSM7886769,GSM7886770,GSM7886771,GSM7886772,GSM7886773,GSM7886774,GSM7886775,GSM7886776,GSM7886777,GSM7886778
hsa-miR-3151-5p,1.31125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3152-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3152-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3153,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3154,1.31047,2.6631,0.1,4.96382,7.1649,15.84924,10.09375,6.01093,14.32577,6.70778,6.00262,0.1,3.2549,2.07404,4.39728
hsa-miR-3155a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3155b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.81961,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3156-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3156-5p,8.05243,5.76824,0.1,11.63892,18.06157,16.22252,21.7352,20.7476,21.0825,14.36939,13.8058,13.49398,11.29581,9.57331,20.11712
hsa-miR-3157-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3157-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3158-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3158-5p,2.18969,4.64918,0.1,9.34113,9.3518,42.14495,20.6418,26.205,67.57873,28.7742,17.1683,7.60901,13.7113,8.16784,14.0962
hsa-miR-3159,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3160-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3160-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3161,1.87811,0.1,0.1,2.70963,3.90643,0.1,2.95745,0.1,2.1451,0.1,1.65479,0.1,0.1,0.1,2.78776
hsa-miR-3162-3p,18.48406,12.52054,12.81515,16.89702,17.58079,14.78843,15.36376,15.50443,15.66475,19.45303,16.74002,14.63976,18.18741,14.94332,15.45
hsa-miR-3162-5p,116.833,106.8891,8.5786,207.4082,288.511,355.86,400.091,428.177,679.53,376.711,256.369,221.925,232.4357,165.3603,326.039
hsa-miR-3163,0.1,0.1,0.1,0.1,0.1,1.13941,2.47194,0.1,1.14832,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3164,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3165,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3166,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3167,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3168,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3169,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3170,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3171,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3173-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.95801,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3173-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3174,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3175,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3176,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.18851,3.85503,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3177-3p,0.1,0.1,0.1,0.1,1.95244,5.8505,4.35232,1.93075,7.14759,2.59513,1.68561,0.1,0.1,0.1,0.1
hsa-miR-3177-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3178,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.17868,2.69738,0.1,0.1,0.1,0.1,0.1
hsa-miR-3179,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3180,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3180-3p,0.1,0.1,0.1,0.1,1.76063,10.39268,7.40314,12.52576,16.20104,9.1509,0.1,0.1,0.1,0.1,2.15254
hsa-miR-3180-5p,6.72137,6.44418,4.94222,7.55498,8.26135,8.17258,8.68407,8.02419,9.11877,9.14045,8.41039,6.44187,7.12312,7.7459,7.5136
hsa-miR-3181,0.1,5.39381,0.1,8.19921,4.72232,1.7638,4.36188,5.94655,6.59795,4.37337,4.73653,6.67122,2.18666,5.50524,6.07888
hsa-miR-3182,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3183,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3184-3p,2.78404,0.1,0.1,0.1,4.19065,4.40641,4.49078,4.59155,4.64628,4.5227,1.96106,0.1,2.08956,0.1,0.1
hsa-miR-3184-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3185,0.1,0.1,0.1,0.1,0.1,1.76721,2.44916,2.68172,4.12419,2.64656,0.1,0.1,0.1,0.1,0.1
hsa-miR-3186-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3186-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3187-3p,1.29046,0.1,0.1,3.05232,3.59239,3.93937,8.78786,8.33481,12.05603,7.49505,3.26998,2.64083,2.41079,2.56378,3.77243
hsa-miR-3187-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3188,12.92382,11.96783,0.1,15.8595,18.17897,43.0613,40.2728,65.2148,95.5413,68.9872,22.6521,21.536,23.8637,24.7717,28.3846
hsa-miR-3189-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3189-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3190-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3190-5p,4.74116,5.71491,4.16057,6.2003,7.50096,7.28083,7.00534,6.0342,5.85244,6.52417,6.59669,5.83434,5.46998,6.13026,5.71278
hsa-miR-3191-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3191-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3192-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3192-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3193,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3194-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3194-5p,8.80066,8.69947,0.1,17.08487,17.95022,49.5974,38.9802,55.0239,66.6641,80.4989,18.01847,22.2706,25.5516,26.0657,27.2932
hsa-miR-3195,42.6002,20.94653,2.98708,40.9272,52.8153,61.2826,81.8741,92.16,258.0623,117.6363,55.337,64.0687,78.2959,83.7793,82.3616
hsa-miR-3196,44.2151,30.0126,3.46159,67.2411,67.0424,144.0454,136.4382,210.3278,222.581,161.13,81.1289,79.8731,86.9129,79.3847,100.3747
hsa-miR-3197,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3198,19.31251,16.53177,0.1,31.5337,35.9455,61.923,67.3306,37.3232,89.1239,36.5601,35.983,34.1928,29.5568,19.99399,48.537
hsa-miR-3199,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-32-3p,2.157485,37.98621,0.1,11.54046,21.33534,17.70889,11.91706,14.14657,19.26099,10.26325,23.42115,17.2007,14.62502,6.38352,8.32461
hsa-miR-32-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3200-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3200-5p,0.1,0.1,0.1,0.1,0.1,0.1,4.63838,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3201,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3202,5.16564,11.67824,0.1,12.06312,25.92032,44.1657,31.9847,23.38283,66.2344,33.27205,31.52388,23.24843,31.17025,21.87713,39.5277
hsa-miR-320a,9.39715,10.90455,0.1,20.63754,17.92568,45.3642,28.7434,38.3702,82.2671,62.926,29.31521,18.48254,22.60543,25.4196,23.0334
hsa-miR-320b,7.35314,14.80155,0.1,27.21172,10.98331,27.00606,11.79938,18.43143,31.79201,33.72611,43.3437,13.16296,19.0368,25.03073,11.53211
hsa-miR-320c,131.1124,181.8805,6.66196,227.9815,251.068,399.607,351.933,406.222,1364.495,441.079,345.576,221.974,293.551,238.868,367.102
hsa-miR-320d,8.00276,23.73506,1.73408,40.97625,11.34386,22.39062,9.51101,14.80377,15.94545,34.85633,62.4261,18.48956,26.17195,40.5117,13.83507
hsa-miR-320e,7.87341,20.0027,1.53711,31.00623,10.2601,26.50233,13.81703,24.2985,35.9298,37.8813,50.87784,16.28781,22.83935,33.15757,14.12008
hsa-miR-323a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-323a-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-323b-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-323b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-324-3p,4.67219,17.814,0.1,21.80881,20.20951,11.75417,21.7861,12.29509,21.14797,11.04155,18.84846,15.36817,10.72836,13.40759,11.87803
hsa-miR-324-5p,0.1,0.1,0.1,5.56489,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-325,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-326,0.1,0.1,0.1,2.8121,0.1,0.1,0.1,0.1,0.1,0.1,2.45899,0.1,0.1,2.10671,0.1
hsa-miR-328-3p,2.81732,5.67476,1.35298,6.64399,3.42266,2.92983,2.28301,5.18726,3.10358,6.74703,6.50627,4.08908,4.44956,6.83439,2.60183
hsa-miR-328-5p,272.5069,226.0519,22.97614,372.9453,331.8928,805.01,680.7169,1538.974,1292.375,1600.896,608.0201,653.8919,657.2706,743.222,757.065
hsa-miR-329-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-329-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-330-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-330-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-331-3p,1.22736,14.26049,1.46485,29.20993,7.28756,3.4186,1.79107,6.36188,8.73616,6.69171,11.28193,11.24928,6.77566,16.39453,2.78483
hsa-miR-331-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-335-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-335-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-337-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-337-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-338-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-338-5p,0.1,3.402071,0.1,0.1,0.882222,0.1,0.1,0.1,1.11735,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-339-3p,0.1,0.1,0.1,3.73861,2.21053,8.40198,15.52083,10.70204,12.27798,4.33519,11.44308,10.37326,6.91596,5.250947,7.45925
hsa-miR-339-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-33a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-33a-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-33b-3p,6.03515,8.42802,5.212751,8.4299,9.35397,9.7031,10.25697,10.91805,9.77314,10.89725,9.03422,13.42303,6.92395,11.0424,7.5382
hsa-miR-33b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-340-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-340-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-342-3p,5.38136,25.68939,1.63841,35.90103,10.8288,5.42028,3.53163,40.4289,45.7884,17.53099,27.79194,18.8215,28.92893,37.4078,7.82517
hsa-miR-342-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-345-3p,13.2994,13.71332,0.1,26.0729,27.9562,50.064,50.4459,48.7789,62.782,47.7765,36.5553,25.4955,26.7652,23.1004,32.223
hsa-miR-345-5p,0.1,0.1,0.1,0.1,0.1,1.37316,2.22846,1.45203,2.02459,0.1,1.32309,0.1,0.1,0.1,0.1
hsa-miR-346,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.28751,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-34a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-34a-5p,0.1,4.2101,0.1,0.1,3.60797,1.81049,0.1,0.1,2.4155,0.1,4.39271,0.1,0.1,0.1,0.1
hsa-miR-34b-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-34b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-34c-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-34c-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3529-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3529-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3591-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3591-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3605-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3605-5p,0.1,0.1,0.1,2.06472,4.39217,5.61445,6.07936,5.39617,9.01839,5.03593,5.79524,0.1,1.94012,0.1,4.8869
hsa-miR-3606-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3606-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3607-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3607-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3609,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-361-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-361-5p,0.1,3.62847,0.1,7.97379,1.88539,1.78252,0.1,0.1,0.1,3.74601,10.90833,3.45205,3.46475,9.58531,0.1
hsa-miR-3610,22.892,18.8029,6.00374,32.3694,28.1139,136.1969,77.891,203.3421,376.038,253.615,84.7255,122.2161,138.8723,114.6005,99.7459
hsa-miR-3611,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3612,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3613-3p,3.8392,5.48387,3.66658,5.41485,5.89374,6.03339,5.49988,4.88444,4.57419,5.15111,6.11366,5.47744,5.10107,5.05009,4.74251
hsa-miR-3613-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3614-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3614-5p,6.2322,7.56376,4.41867,8.92669,12.84384,20.49738,11.99735,13.37114,11.85279,12.90067,14.13387,11.75644,14.85019,8.90039,15.47391
hsa-miR-3615,1.28803,0.1,0.1,0.1,2.98628,8.19299,7.02689,2.67783,11.91995,2.32841,3.0897,0.1,0.1,0.1,0.1
hsa-miR-3616-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3616-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3617-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3617-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3618,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3619-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3619-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-362-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-362-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3620-3p,19.8554,11.79483,5.11866,21.4056,24.3416,28.5134,20.4372,21.7809,21.439,21.9291,33.0825,23.2519,21.8858,23.3001,24.3368
hsa-miR-3620-5p,3.30494,0.1,0.1,3.91416,6.82011,14.86948,16.2421,17.86951,27.8438,22.2685,5.87732,2.60306,5.80165,5.60667,7.87649
hsa-miR-3621,0.1,0.1,0.1,0.1,4.1366,2.32127,2.0629,4.2729,5.22291,2.14489,1.74243,0.1,0.1,0.1,2.87465
hsa-miR-3622a-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3622a-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3622b-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3622b-5p,1.73412,0.1,0.1,4.07118,7.30643,6.88759,7.77765,3.91785,6.77845,2.55144,3.88582,2.96441,2.37848,0.1,3.45799
hsa-miR-363-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.10206,0.1,0.1,0.1,0.1,2.18564,0.1
hsa-miR-363-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3646,5.36129,6.16219,1.6105,8.12398,9.62139,12.58923,14.64408,14.70618,25.43145,15.7764,9.11743,9.36473,8.9943,7.94981,8.19933
hsa-miR-3648,15.8814,50.9357,3.27221,95.6387,43.2294,490.306,337.939,458.958,572.985,289.938,249.561,171.3938,194.6624,131.9881,193.4856
hsa-miR-3649,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3650,0.1,2.10197,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3651,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3652,10.76034,21.33192,0.1,31.1179,32.8616,23.12782,57.9564,73.5497,41.8656,53.3509,20.72528,65.801,44.3405,38.3941,99.3311
hsa-miR-3653-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3653-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3654,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3655,0.1,0.1,0.1,0.1,0.1,6.02972,8.90715,2.86791,3.5562,0.1,3.4451,0.1,0.1,0.1,0.1
hsa-miR-3656,120.8987,150.275,17.5847,317.55,218.5075,289.609,388.877,489.977,673.741,444.488,290.418,315.06,360.386,286.451,442.145
hsa-miR-3657,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3658,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3659,0.1,0.1,0.1,0.1,0.1,5.01343,6.84682,6.01999,8.1553,4.14646,0.1,0.1,0.1,0.1,0.1
hsa-miR-365a-3p,3.21551,4.31292,3.16097,3.91423,4.11312,5.62076,4.95738,5.42157,6.55893,5.75744,4.4165,2.67815,4.3897,4.64866,4.48878
hsa-miR-365a-5p,0.1,0.1,0.1,2.16322,2.11004,2.66963,4.44179,4.43509,7.13942,2.23203,2.31042,0.1,0.1,0.1,2.33722
hsa-miR-365b-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3660,0.1,0.1,0.1,4.11957,8.8296,0.1,8.10506,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3661,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3662,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3663-3p,157.8033,80.7102,23.6364,181.8056,146.5172,532.918,560.396,787.471,1991.883,1276.192,246.2777,285.771,420.921,488.429,328.798
hsa-miR-3663-5p,0.1,0.1,0.1,3.04801,6.38731,3.93478,4.98633,3.03433,3.30986,2.1622,8.33757,4.97439,4.47858,2.36829,8.16897
hsa-miR-3664-3p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3664-5p,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
hsa-miR-3665,119.6953,121.0823,11.02779,157.9339,170.4702,437.812,389.887,898.905,689.077,1023.615,194.5027,242.949,237.1287,267.2692,389.771
hsa-miR-3666,0.1,0.1,0.1,0.1,0.1,6.27775,7.45488,0.1,8.68162,0.1,5.38492,0.1,0.1,0.1,0.1
