miRNA,BRH.1425633_S15,BRH.1425634_S16,BRH.1386871,BRH.1386872,BRH.1386873,X12190,X12104,X12108,X12176,X12256,BRH.1429984_S9,BRH.1429985_S10,BRH.1429986_S11,BRH.1429987_S12,BRH.1429988_S13,BRH.1429989_S14,X1038.24h_S2,X1052.24h_S3,X1108.24h_S4,X1141.24h_S5z,X1231.24h_S6z,X1242.24h_S7z,X1249.24h_S8z,X964.24h_S1,X10018,X10050,X1013,X1016,X1022,X1025,X1027,X1028,X9911,X9931,X9961,X9993,X999,X1038.48h_S18,X1052.48h_S19,X1141.48h_S20z,X1231.48h_S21z,X1242.48h_S22z,X1249.48h_S23z,X964.48h_S17,X1038.96h_S25,X1052.96h_S26,X1231.96h_S27z,X1242.96h_S28z,X964.96h_S24,X1592652_1,X1592653_2,X1592654_3,X1592655_4,X1592656_5,X1592657_6,Aged_patient.1_S29,Aged_patient.2_S30,Aged_patient.3_S31,Aged_patient.4_S32,Aged_patient.5_S33,Aged_patient.6_S34
hsa-miR-3121-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3122,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
hsa-miR-3124-5p,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,5,21,0,8,2,12,3,1,6,19,3,0,52,18,25,4,41,6,8,9,10,2,15,3,28,8,8,10,2,14,4,17,13,0,0,0,1,0,0,4,15,5,0,34,2
hsa-miR-3125,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,2,0,0,0,12,0,0,0,0
hsa-miR-3126-5p,0,0,0,0,0,6,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3127-5p,0,0,0,0,0,20,0,0,88,0,0,0,0,0,0,0,6,10,3,0,5,5,2,5,0,2,2,1,6,3,2,4,0,5,5,1,3,2,2,0,1,2,30,0,3,12,2,4,0,5,0,0,0,0,0,0,4,1,0,11,2
hsa-miR-3128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,1,5,0,0,5,1,0,5,6,14,0,0,0,2,1,3,0,2,0,4,3,5,3,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0
hsa-miR-3129-5p,0,0,0,0,0,0,0,22,26,6,0,0,0,0,0,0,0,5,0,0,2,1,0,1,0,1,3,0,0,0,0,0,4,0,7,1,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
hsa-miR-3130-5p,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,3,0,1,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3131,0,0,0,0,0,0,0,0,0,3,0,0,6,0,2,0,0,7,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0
hsa-miR-3132,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3135a,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,18,0,0,5,7,0,1,0,2,0,0,15,0,19,13,7,7,4,1,8,5,1,0,5,4,4,0,4,16,2,30,0,0,0,0,0,0,0,5,16,4,0,26,0
hsa-miR-3135b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
hsa-miR-3136-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,3,1,2,1,0,0,8,2,13,1,1,0,2,2,3,1,1,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,3,0,12,0
hsa-miR-3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3140-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,18,11,4,8,10,8,10,68,30,41,7,85,96,151,57,86,28,60,16,69,1,6,0,20,5,23,0,8,14,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3144-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3145-5p,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,4,1,0,0,1,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0
hsa-miR-3150a-5p,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,2,4,5,3,1,2,4,9,12,14,15,5,7,2,16,3,15,1,7,6,0,16,1,1,0,3,3,1,0,9,2,0,0,0,3,0,0,3,7,20,0,17,1
hsa-miR-3150b-5p,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0,3,1,0,3,6,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-3151-5p,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,2,0,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0
hsa-miR-3152-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-3155b,0,0,0,0,0,22,0,12,2,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3156-5p,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3157-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,2,4,0,14,12,10,2,2,3,12,0,2,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,17,0
hsa-miR-3158-5p,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3160-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,14,0,7,57,0,0,26,8,0,15,0,0,3,0,6,0,0,4,0,5,7,0,0,0,0,7,0,0,0,0,0,0,0,5,0,4,0,0,2
hsa-miR-3162-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,14,3,9,0,3,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,4,7,10,1,5,5,5,0,7,16,13,2,13,4,5,5,9,6,2,0,19,2,4,2,12,23,2,20,0,0,0,0,0,0,0,0,7,9,0,0,4
hsa-miR-3165,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0
hsa-miR-3168,1,1,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3170,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3173-5p,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,8,5,11,3,3,6,17,11,6,45,53,38,1,86,51,43,17,42,15,25,7,13,4,6,3,25,9,29,9,10,12,9,19,4,0,0,0,0,0,0,2,13,17,0,0,5
hsa-miR-3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,3,0,0,4,4,2,5,5,1,4,1,2,5,0,2,2,1,0,0,1,2,0,1,1,2,1,0,0,0,0,0,0,0,3,0,0,0,4,0
hsa-miR-3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,8,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,1,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3177-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-3178,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3180,1,0,0,1,0,7,0,8,48,11,2,2,7,3,0,5,1,12,1,0,3,4,0,2,5,3,5,0,6,6,12,4,6,2,15,2,1,2,7,2,16,9,12,2,5,32,5,3,7,0,0,1,0,0,0,1,15,4,0,72,3
hsa-miR-3180-3p,1,0,0,1,0,7,0,8,48,11,2,2,7,3,0,5,1,12,1,0,3,4,0,2,5,3,5,0,6,6,12,4,6,2,15,2,1,2,7,2,16,9,12,2,5,32,5,3,7,0,0,1,0,0,0,1,15,4,0,72,3
hsa-miR-3180-5p,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,0,9,2,2,4,5,8,3,0,0,3,3,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-3181,0,0,0,1,0,6,0,8,48,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3182,0,0,0,1,0,6,0,8,48,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0
hsa-miR-3184-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0
hsa-miR-3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3186-5p,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,2,4,0,16,16,0,0,5,6,0,4,1,2,0,9,1,10,1,0,0,0,0,2,17,16,0,0,9,0,19,1,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-3187-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,1,0,5,3,7,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
hsa-miR-3189-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3190-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3191-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-3192-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,3,3,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
hsa-miR-3194-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3195,10,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,2,0,2,1,1,0,2,0,4,1,0,0,6,1,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
hsa-miR-3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
hsa-miR-3197,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3199,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,3,3,13,7,9,1,6,7,0,16,12,2,0,27,6,13,9,12,2,11,6,12,16,13,6,5,11,0,6,3,5,2,3,6,0,0,7,0,0,0,0,8,7,0,13,0
hsa-miR-32-5p,0,0,0,0,0,0,0,0,0,0,12,7,93,27,14,156,113,406,46,118,201,530,485,35,417,1228,962,86,611,827,1755,414,1471,450,172,57,848,21,219,36,181,281,432,64,32,71,54,222,6,5,0,4,8,0,0,22,109,244,0,40,13
hsa-miR-3200-5p,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,15,0,0,0,10,7,0,5,1,10,0,40,13,39,13,8,9,28,2,40,2,1,10,13,1,7,0,12,4,0,9,1,0,0,0,0,0,0,0,0,0,0,0,5
hsa-miR-3201,0,0,5,3,17,93,0,82,126,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,5,0,0,2,0,0,6,0,3,2,1,0,5,3,3,0,1,10,6,4,0,6,0,0,0,10,0,0,0,0,0,0,0,0,4,1,0,8,0
hsa-miR-320b,511,725,0,0,0,0,0,0,0,0,2601,8765,9453,11626,2731,8810,8401,54094,4686,10301,7087,8335,7879,5315,21720,8632,10108,1399,30054,5917,26542,7273,7102,5626,14946,6469,7566,13589,43718,44906,16204,14055,25793,8370,10869,41034,12265,15240,6546,54,60,3074,3538,24,21,764,32154,13156,31,45329,7196
hsa-miR-320c,154,192,0,0,0,0,0,0,0,0,226,860,982,2129,396,1390,330,3452,201,710,721,278,303,255,2459,569,440,12,1451,236,803,299,519,82,974,287,157,657,4058,3169,719,680,1370,794,459,1490,303,676,336,4,4,141,214,2,2,106,1504,1727,1,1778,563
hsa-miR-320d,34,43,48,467,354,2140,425,8537,23183,10325,84,195,356,669,132,610,59,1220,45,184,198,69,93,76,841,242,100,14,572,103,251,68,190,40,295,122,32,173,800,1043,206,137,433,237,110,346,61,101,163,0,1,62,111,1,3,25,187,439,0,449,163
hsa-miR-320e,0,0,2,19,12,58,15,367,1145,107,0,8,2,3,0,6,2,13,3,4,2,0,0,0,7,7,4,0,27,1,7,0,5,0,8,4,0,8,28,16,5,6,5,4,2,5,2,4,6,0,0,0,0,0,0,0,4,7,0,18,0
hsa-miR-323a-5p,2,0,2,19,12,58,15,367,1145,107,2,0,0,0,0,0,6,1,1,4,4,3,1,4,5,7,4,0,4,3,13,7,33,7,0,1,3,1,2,37,3,3,6,5,0,0,3,0,9,0,0,0,0,0,0,9,10,15,0,12,7
hsa-miR-323b-5p,0,0,0,7,0,1,0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
hsa-miR-324-5p,0,0,0,0,0,50,0,109,888,56,0,0,0,1,0,5,15,129,0,0,0,33,14,6,26,10,13,6,32,20,62,3,21,13,31,13,40,7,23,0,40,16,0,8,11,69,3,60,2,5,0,0,0,1,0,0,3,3,0,7,4
hsa-miR-325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-328-5p,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-329-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3
hsa-miR-330-5p,0,7,0,0,0,4,0,3,8,0,0,9,18,13,10,23,38,103,10,4,45,57,61,35,27,44,14,12,35,31,72,16,29,31,51,5,46,40,24,9,87,60,74,50,18,81,38,72,29,31,0,5,7,3,5,11,76,45,0,60,62
hsa-miR-331-5p,0,0,0,0,0,4,0,3,8,0,0,4,11,2,0,2,24,114,9,13,38,40,18,13,50,63,55,15,110,64,122,50,58,26,92,27,61,24,115,18,84,30,57,25,19,80,7,31,9,0,0,4,4,4,0,1,56,34,0,60,0
hsa-miR-335-5p,4,0,0,0,0,75,0,43,156,117,4,12,28,19,2,27,118,783,29,87,58,149,69,115,721,771,809,45,2241,221,1495,240,465,499,702,1920,355,123,2373,184,55,170,269,297,56,89,54,108,96,28,0,1,1,0,0,20,145,108,0,59,8
hsa-miR-337-5p,0,0,0,0,3,18,0,9,60,61,1,1,5,0,0,0,4,3,0,1,5,3,0,2,11,13,3,2,17,2,8,1,9,2,2,1,6,2,2,0,0,11,12,3,2,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,1
hsa-miR-338-5p,91,34,0,4,6,130,0,348,668,287,45,68,83,163,101,108,198,150,272,321,381,815,1109,531,582,908,583,46,1298,670,468,360,965,839,960,249,346,250,415,529,386,447,1374,1903,136,450,184,852,824,195,0,20,38,1,28,55,285,433,1,212,91
hsa-miR-339-5p,5,0,0,0,0,0,0,0,0,3,5,0,14,25,1,40,84,210,22,15,152,392,99,60,168,249,160,11,189,101,299,154,168,105,476,46,215,47,104,31,219,278,189,38,25,263,65,168,8,1,0,2,3,0,0,40,193,346,1,358,97
hsa-miR-33a-5p,0,0,18,92,127,1887,0,1750,2674,971,0,0,0,0,0,0,6,17,0,1,14,29,11,1,42,51,8,0,21,9,14,16,12,4,16,7,17,2,5,22,5,18,8,2,1,5,7,4,5,0,0,0,0,0,0,2,20,13,0,4,8
hsa-miR-33b-5p,0,0,0,0,0,6,0,0,0,42,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,3,0,0,1,0,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-340-5p,27,8,0,0,0,10,0,7,0,42,21,36,181,142,74,434,804,2908,498,267,1431,3199,2815,247,2888,6103,2898,151,3335,3655,4429,2802,3870,2047,2088,1894,5047,258,3847,296,938,1683,2075,520,316,670,598,2004,260,210,2,20,34,35,64,412,1879,1643,1,734,150
hsa-miR-342-5p,241,85,0,0,0,0,0,0,0,0,75,128,313,316,126,555,237,620,225,312,556,286,336,304,527,667,335,134,922,597,748,248,423,172,743,163,454,266,259,829,696,371,869,911,325,641,306,601,380,0,0,64,71,0,0,109,559,725,1,792,339
hsa-miR-345-5p,0,5,5,55,36,954,0,543,1009,1075,38,122,81,177,38,103,336,1479,110,113,162,797,630,105,933,810,658,86,1591,642,1109,442,883,454,1230,278,804,255,874,169,529,401,502,236,207,518,148,553,100,14,4,24,50,0,0,30,378,460,0,845,176
hsa-miR-346,0,0,74,506,351,1899,29,1234,3960,1126,0,0,0,0,0,0,0,0,7,0,0,0,0,1,4,0,1,0,0,0,0,1,14,13,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,9,0,6,0,3,9,0,0,0,0,0,0
hsa-miR-34a-5p,0,0,0,0,5,6,0,4,32,51,0,0,0,0,0,0,1,102,3,3,1,2,1,1,5,11,4,0,15,3,29,9,14,5,40,13,2,1,79,0,0,4,21,6,0,11,0,1,0,27,0,4,5,0,4,1,0,10,0,0,0
hsa-miR-34b-5p,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-34c-5p,293,15,0,4,3,7,0,14,37,50,0,1,13,3,9,2,41,69,25,13,23,88,77,15,148,114,136,4,201,28,140,22,244,35,212,60,19,49,57,70,6,20,43,45,44,17,6,21,17,111,4,32,20,5,9,0,20,11,0,23,8
hsa-miR-3529-5p,0,0,0,0,0,8,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3591-5p,0,0,11,162,341,1957,18,2752,2268,16859,0,0,0,0,0,0,16,54,2,13,5,4,16,1,112,121,24,0,104,23,100,19,22,20,66,46,1,4,77,0,1,14,7,3,0,8,0,2,6,0,0,0,0,0,0,0,0,10,0,0,0
